reds,delta_mu
0.00122,0.07179844352946153
0.00122,0.07179844352946153
0.00256,0.03673705220971784
0.00256,0.03673705220971784
0.00299,0.03691274927322
0.0035,0.03246155476651258
0.00478,0.012281944188684186
0.00478,0.012281944188684186
0.00478,0.01228353510485212
0.00478,0.01228353510485212
0.00357,0.07260507499002913
0.00369,0.05429522514520474
0.00369,0.05439624672017157
0.00462,0.0435702500398019
0.00366,0.07260316349817432
0.00435,0.06682038467275958
0.00435,0.06682038467275958
0.00293,0.011706630664566784
0.00293,0.011706630664566784
0.00465,0.01610201428191036
0.00465,0.01610201428191036
0.0046,0.07240999046993918
0.0046,0.07111484266408866
0.0046,0.07035713337169439
0.0046,0.07111484266408866
0.0046,0.07030272105631648
0.0046,0.07035713337169439
0.00515,0.047203708740125846
0.00515,0.047203708740125846
0.00458,0.03914675590858367
0.00701,0.010840684706308864
0.00489,0.05576138079521521
0.00489,0.05576138079521521
0.0066,0.013688527333547959
0.0066,0.013688527333547959
0.00505,0.05533311100337486
0.0054,0.01461653541756828
0.00603,0.04322913337584321
0.00596,-0.005754480522136675
0.00596,-0.005754480522136675
0.00596,-0.005754480522136675
0.00551,0.07242681463067004
0.00551,0.07241222304582652
0.00635,0.04261295676226844
0.00635,0.04261295676226844
0.00635,0.04261295676226844
0.00635,0.04261295676226844
0.00552,0.022079704309952194
0.00552,0.022079704309952194
0.00552,0.022079704309952194
0.00567,0.04514431096105948
0.00548,0.05330126617664442
0.0055,0.01840724199626958
0.0055,0.01840724199626958
0.00801,0.020510163768632496
0.00594,0.07034212781996584
0.00592,0.011552865805142766
0.00812,0.017744187966537442
0.00727,0.02880765094568062
0.00727,0.02880765094568062
0.00727,0.02880765094568062
0.00611,0.02634549909445316
0.00703,0.03162352423280486
0.00703,0.03162352423280486
0.00703,0.03162352423280486
0.00668,0.056581911654636004
0.00668,0.056581911654636004
0.00664,0.07103607345821705
0.00664,0.07103607345821705
0.00664,0.07103607345821705
0.00722,0.030283792753758258
0.00722,0.030283792753758258
0.00769,0.018195348513100545
0.00769,0.01011943152162931
0.00769,0.01011943152162931
0.00788,0.05371834256850473
0.00801,0.04431707485837482
0.00801,0.04431707485837482
0.00801,0.04431707485837482
0.00867,-0.0015892853799755492
0.0078,-0.006641552085546394
0.00758,0.05354335956638743
0.00775,0.0036966696574167006
0.00775,0.0036966696574167006
0.00796,-0.006739576901809351
0.00861,0.021960743750635003
0.00773,0.04322199190729731
0.00812,-0.012891841892468175
0.00841,-0.004901142804391188
0.00841,-0.004901142804391188
0.00841,-0.004901142804391188
0.00931,0.02398599341666946
0.00837,0.0716973403782909
