SGX,SGY,SGZ,vx,vy,vz,vr
1.420958108131403,47.063298717355146,-147.58568780448974,359.7427978515625,147.63113403320312,31.815876007080078,17.839642571514236
9.233458108131403,47.063298717355146,-147.58568780448974,359.7427978515625,147.63113403320312,31.815876007080078,35.9196064381834
1.420958108131403,54.875798717355146,-147.58568780448974,359.7427978515625,147.63113403320312,31.815876007080078,24.875452073684308
9.233458108131403,54.875798717355146,-147.58568780448974,359.7427978515625,147.63113403320312,31.815876007080078,42.65238484034213
1.420958108131403,47.063298717355146,-139.77318780448974,359.7427978515625,147.63113403320312,31.815876007080078,20.422850096603973
9.233458108131403,47.063298717355146,-139.77318780448974,359.7427978515625,147.63113403320312,31.815876007080078,39.402906867831156
1.420958108131403,54.875798717355146,-139.77318780448974,359.7427978515625,147.63113403320312,31.815876007080078,27.739576332617094
17.0459581081314,47.063298717355146,-147.58568780448974,359.7427978515625,147.63113403320312,31.815876007080078,53.80157319515004
17.0459581081314,54.875798717355146,-147.58568780448974,359.7427978515625,147.63113403320312,31.815876007080078,60.222981018060416
17.0459581081314,47.063298717355146,-139.77318780448974,359.7427978515625,147.63113403320312,31.815876007080078,58.149206584108455
24.8584581081314,47.063298717355146,-147.58568780448974,263.60101318359375,105.74090576171875,21.677398681640625,53.09429232753586
24.8584581081314,54.875798717355146,-147.58568780448974,263.60101318359375,105.74090576171875,21.677398681640625,57.43796949817425
24.8584581081314,47.063298717355146,-139.77318780448974,263.60101318359375,105.74090576171875,21.677398681640625,56.8271895644537
24.8584581081314,54.875798717355146,-139.77318780448974,263.60101318359375,105.74090576171875,21.677398681640625,61.26945439530182
1.420958108131403,62.688298717355146,-147.58568780448974,279.77899169921875,88.60688781738281,-33.60791778564453,68.05083075286753
9.233458108131403,62.688298717355146,-147.58568780448974,279.77899169921875,88.60688781738281,-33.60791778564453,81.54987611471583
1.420958108131403,62.688298717355146,-139.77318780448974,279.77899169921875,88.60688781738281,-33.60791778564453,69.51746571500264
17.0459581081314,62.688298717355146,-147.58568780448974,279.77899169921875,88.60688781738281,-33.60791778564453,94.78237405033343
24.8584581081314,62.688298717355146,-147.58568780448974,202.25169372558594,-1.0508308410644531,-86.64888763427734,109.38981443211496
24.8584581081314,62.688298717355146,-139.77318780448974,202.25169372558594,-1.0508308410644531,-86.64888763427734,110.01256047115426
1.420958108131403,70.50079871735514,-147.58568780448974,203.89231872558594,167.16542053222656,-162.3631591796875,220.32355334213693
9.233458108131403,70.50079871735514,-147.58568780448974,203.89231872558594,167.16542053222656,-162.3631591796875,229.70511320215434
1.420958108131403,70.50079871735514,-139.77318780448974,203.89231872558594,167.16542053222656,-162.3631591796875,222.09076091928986
9.233458108131403,70.50079871735514,-139.77318780448974,203.89231872558594,167.16542053222656,-162.3631591796875,231.8722178674934
17.0459581081314,70.50079871735514,-147.58568780448974,203.89231872558594,167.16542053222656,-162.3631591796875,238.51800457049103
17.0459581081314,70.50079871735514,-139.77318780448974,203.89231872558594,167.16542053222656,-162.3631591796875,241.02583884592497
24.8584581081314,70.50079871735514,-147.58568780448974,132.12899780273438,118.55567932128906,-231.7406005859375,277.1086323405542
24.8584581081314,70.50079871735514,-139.77318780448974,132.12899780273438,118.55567932128906,-231.7406005859375,277.8021302550409
-6.391541891868597,31.438298717355146,-139.77318780448974,346.5784912109375,205.91851806640625,-89.14203643798828,116.5783005954485
1.420958108131403,31.438298717355146,-139.77318780448974,353.0479431152344,273.05194091796875,-19.928611755371094,82.85933028010314
-6.391541891868597,39.250798717355146,-139.77318780448974,376.29742431640625,185.93460083007812,-21.731094360351562,54.57172376826734
1.420958108131403,39.250798717355146,-139.77318780448974,359.7427978515625,147.63113403320312,31.815876007080078,12.802911677203943
-6.391541891868597,31.438298717355146,-131.96068780448974,383.8143310546875,314.1061096191406,-113.31867218017578,164.76198345724833
1.420958108131403,31.438298717355146,-131.96068780448974,335.5142822265625,368.7264099121094,-173.1029052734375,257.3441482802167
-6.391541891868597,39.250798717355146,-131.96068780448974,421.9920959472656,201.46630859375,-40.77916717529297,76.8507607301332
9.233458108131403,31.438298717355146,-139.77318780448974,353.0479431152344,273.05194091796875,-19.928611755371094,101.90429944556574
9.233458108131403,39.250798717355146,-139.77318780448974,359.7427978515625,147.63113403320312,31.815876007080078,32.09736521571948
9.233458108131403,31.438298717355146,-131.96068780448974,335.5142822265625,368.7264099121094,-173.1029052734375,276.04228801253504
17.0459581081314,31.438298717355146,-139.77318780448974,353.0479431152344,273.05194091796875,-19.928611755371094,120.5179768527617
17.0459581081314,39.250798717355146,-139.77318780448974,359.7427978515625,147.63113403320312,31.815876007080078,51.169410526899696
17.0459581081314,31.438298717355146,-131.96068780448974,335.5142822265625,368.7264099121094,-173.1029052734375,293.694128875196
24.8584581081314,31.438298717355146,-139.77318780448974,251.38040161132812,331.03680419921875,13.241981506347656,101.82046884138656
24.8584581081314,39.250798717355146,-139.77318780448974,263.60101318359375,105.74090576171875,21.677398681640625,52.09501532200069
24.8584581081314,31.438298717355146,-131.96068780448974,248.33566284179688,383.97991943359375,-238.63430786132812,360.6284156557333
24.8584581081314,39.250798717355146,-131.96068780448974,206.27232360839844,75.97856140136719,-205.59890747070312,251.89879333763696
-14.204041891868597,39.250798717355146,-139.77318780448974,254.6782684326172,183.39097595214844,-155.34066772460938,173.39224273105145
-14.204041891868597,47.063298717355146,-139.77318780448974,254.6782684326172,183.39097595214844,-155.34066772460938,180.3782879757043
-6.391541891868597,47.063298717355146,-139.77318780448974,376.29742431640625,185.93460083007812,-21.731094360351562,63.56084311601605
